Title; Year; Rating; Audience rating; Genres1. Die Verurteilten; 1994; 9.3; 12; Drama
2. Der Pate; 1972; 9.2; 16; Crime,Drama
3. The Dark Knight; 2008; 9.0; 16; Action,Crime,Drama
4. Der Pate 2; 1974; 9.0; 16; Crime,Drama
5. Die zwölf Geschworenen; 1957; 9.0; 12; Crime,Drama
6. Schindlers Liste; 1993; 9.0; 12; Biography,Drama,History
7. Der Herr der Ringe: Die Rückkehr des Königs; 2003; 9.0; 12; Action,Adventure,Drama
8. Pulp Fiction; 1994; 8.9; 16; Crime,Drama
9. Der Herr der Ringe: Die Gefährten; 2001; 8.9; 12; Action,Adventure,Drama
10. Zwei glorreiche Halunken; 1966; 8.8; 18; Adventure,Drama,Western
11. Forrest Gump; 1994; 8.8; 12; Drama,Romance
12. Der Herr der Ringe: Die zwei Türme; 2002; 8.8; 12; Action,Adventure,Drama
13. Fight Club; 1999; 8.8; 18; Drama
14. Inception; 2010; 8.8; 12; Action,Adventure,Sci-Fi
15. Star Wars: Episode V - Das Imperium schlägt zurück; 1980; 8.7; 12; Action,Adventure,Fantasy
16. Matrix; 1999; 8.7; 16; Action,Sci-Fi
17. GoodFellas - Drei Jahrzehnte in der Mafia; 1990; 8.7; 16; Biography,Crime,Drama
18. Einer flog über das Kuckucksnest; 1975; 8.7; 16; Drama
19. Sieben; 1995; 8.6; 16; Crime,Drama,Mystery
20. Interstellar; 2014; 8.7; 12; Adventure,Drama,Sci-Fi
21. Ist das Leben nicht schön?; 1946; 8.6; 6; Drama,Family,Fantasy
22. Die sieben Samurai; 1954; 8.6; 16; Action,Drama
23. Das Schweigen der Lämmer; 1991; 8.6; 16; Crime,Drama,Thriller
24. Dune: Part Two; 2024; 8.7; 12; Action,Adventure,Drama
25. Der Soldat James Ryan; 1998; 8.6; 16; Drama,War
26. City of God; 2002; 8.6; 16; Crime,Drama
27. Das Leben ist schön; 1997; 8.6; 6; Comedy,Drama,Romance
28. The Green Mile; 1999; 8.6; 12; Crime,Drama,Fantasy
29. Terminator 2: Tag der Abrechnung; 1991; 8.6; 16; Action,Adventure,Sci-Fi
30. Star Wars: Episode IV - Eine neue Hoffnung; 1977; 8.6; 12; Action,Adventure,Fantasy
31. Zurück in die Zukunft; 1985; 8.5; 12; Adventure,Comedy,Sci-Fi
32. Chihiros Reise ins Zauberland; 2001; 8.6; 0; Animation,Adventure,Family
33. Der Pianist; 2002; 8.5; 12; Biography,Drama,Music
34. Parasite; 2019; 8.5; 16; Drama,Thriller
35. Psycho; 1960; 8.5; 18; Horror,Mystery,Thriller
36. Spider-Man: Across the Spider-Verse; 2023; 8.6; 12; Animation,Action,Adventure
37. Gladiator; 2000; 8.5; 16; Action,Adventure,Drama
38. Der König der Löwen; 1994; 8.5; 0; Animation,Adventure,Drama
39. Departed: Unter Feinden; 2006; 8.5; 16; Crime,Drama,Thriller
40. Léon: Der Profi; 1994; 8.5; 16; Action,Crime,Drama
41. American History X; 1998; 8.5; 16; Crime,Drama
42. Whiplash; 2014; 8.5; 12; Drama,Music
43. Prestige - Die Meister der Magie; 2006; 8.5; 12; Drama,Mystery,Sci-Fi
44. Die letzten Glühwürmchen; 1988; 8.5; 6; Animation,Drama,War
45. Harakiri; 1962; 8.6; 16; Action,Drama,Mystery
46. Die üblichen Verdächtigen; 1995; 8.5; 16; Crime,Drama,Mystery
47. Casablanca; 1942; 8.5; 6; Drama,Romance,War
48. Ziemlich beste Freunde; 2011; 8.5; 6; Comedy,Drama
49. Cinema Paradiso; 1988; 8.5; 12; Drama,Romance
50. Moderne Zeiten; 1936; 8.5; 6; Comedy,Drama,Romance
51. Das Fenster zum Hof; 1954; 8.5; 16; Mystery,Thriller
52. Spiel mir das Lied vom Tod; 1968; 8.5; 16; Drama,Western
53. Alien: Das unheimliche Wesen aus einer fremden Welt; 1979; 8.5; 16; Horror,Sci-Fi
54. Lichter der Großstadt; 1931; 8.5; 6; Comedy,Drama,Romance
55. Django Unchained; 2012; 8.5; 16; Comedy,Drama,Western
56. Apocalypse Now; 1979; 8.4; 16; Drama,Mystery,War
57. Memento; 2000; 8.4; 16; Mystery,Thriller
