Product Name,Available Colors,Image URL,Care Instructions
Relaxed-Fit Hemd aus Leinen für verschiedene Anlässe,"Weiß,Hellrosa","https://images.hugoboss.com/is/image/boss/hbeu50490761_199_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50490761_199_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50490761_199_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50490761_199_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50490761_199_341wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50490761_199_100wid=768&qlt=80","30 °C Buntwäsche,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
Regular-Fit Anzug aus meliertem Schurwoll-Mix,"Schwarz,Dunkelblau,Dunkelgrau","https://images.hugoboss.com/is/image/boss/hbeu50483045_001_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50483045_001_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50483045_001_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50483045_001_600wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50483045_001_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50483045_001_341wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50483045_001_342wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50483045_001_343wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50483045_001_170wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50483045_001_240wid=768&qlt=80","Nicht waschen,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Schonende chemische Trockenreinigung P"
Slim-Fit Jeans aus hellgrauem Denim,Hellgrau,"https://images.hugoboss.com/is/image/boss/hbeu50511362_030_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511362_030_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511362_030_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511362_030_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511362_030_100wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511362_030_240wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln mittlere Hitze,Nicht chemisch trockenreinigen"
Strickpullover aus Baumwoll-Jacquard mit Johnny-Kragen,"Hellblau,Weiß","https://images.hugoboss.com/is/image/boss/hbeu50510898_455_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50510898_455_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50510898_455_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50510898_455_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50510898_455_100wid=768&qlt=80","30 °C Feinwäsche/Wollwäsche,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln mittlere Hitze,Chemische Trockenreinigung P"
Slim-Fit Poloshirt aus merzerisierter Baumwolle in zweifarbiger Optik,"Hellbeige,Hellrosa,Hellblau,Dunkelblau","https://images.hugoboss.com/is/image/boss/hbeu50513580_255_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513580_255_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513580_255_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513580_255_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513580_255_100wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Schonende chemische Trockenreinigung P"
Regular-Fit Shorts mit schmalem Beinverlauf und geknöpften Taschen,"Schwarz,Blau,Beige,Weiß,Hellgrau","https://images.hugoboss.com/is/image/boss/hbeu50505857_001_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50505857_001_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50505857_001_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50505857_001_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50505857_001_100wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50505857_001_240wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Schonende chemische Trockenreinigung P"
Relaxed-Fit T-Shirt aus Baumwoll-Jersey mit Doppel-Logo,"Hellblau,Schwarz","https://images.hugoboss.com/is/image/boss/hbeu50509966_455_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50509966_455_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50509966_455_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50509966_455_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50509966_455_100wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
T-Shirt aus Baumwoll-Jersey mit saisonalem Print,"Hellblau,Pink","https://images.hugoboss.com/is/image/boss/hbeu50509986_485_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50509986_485_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50509986_485_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50509986_485_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50509986_485_100wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
Jogginghose aus Stretch-Gewebe mit dekorativem reflektierendem Logo,"Hellbraun,Dunkelgrau,Schwarz","https://images.hugoboss.com/is/image/boss/hbeu50517748_334_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517748_334_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517748_334_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517748_334_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517748_334_100wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50517748_334_240wid=768&qlt=80","30 °C Pflegeleicht,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Nicht chemisch trockenreinigen"
Extra Slim-Fit Anzug aus Performance-Stretch-Gewebe,"Hellblau,Hellrosa,Blau,Dunkelgrün","https://images.hugoboss.com/is/image/boss/hbeu50500247_455_300wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50500247_455_600wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50500247_455_350wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50500247_455_360wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50500247_455_340wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50500247_455_341wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50500247_455_342wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50500247_455_343wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50500247_455_170wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50500247_455_240wid=768&qlt=80","Nicht waschen,Nicht bleichen,Nicht im Wäschetrockner trocknen,Bügeln geringe Hitze,Schonende chemische Trockenreinigung P"
